run_accession	sample_title
ERR1072708	10317.000001311
ERR1072709	10317.000001312
ERR1072710	10317.000001315
ERR1072711	10317.000001317
ERR1072712	10317.000001322
ERR1072713	10317.000001333
ERR1072714	10317.000001336
ERR1072715	10317.000001344
ERR1072716	10317.000001350
ERR1072717	10317.000001353
ERR1072718	10317.000001354
ERR1072719	10317.000001362
ERR1072720	10317.000001363
ERR1072721	10317.000001364
ERR1072722	10317.000001367
ERR1072723	10317.000001375
ERR1072724	10317.000001377
ERR1072725	10317.000001380
ERR1072726	10317.000001386
ERR1072727	10317.000001397
ERR1072728	10317.000001398
ERR1072729	10317.000001399
ERR1072730	10317.000001404
ERR1072731	10317.000001405
ERR1072732	10317.000001411
ERR1072733	10317.000001417
ERR1072734	10317.000001419
ERR1072735	10317.000001422
ERR1072736	10317.000001427
ERR1072737	10317.000001432
ERR1072738	10317.000001435
ERR1072739	10317.000001436
ERR1072740	10317.000001446
ERR1072741	10317.000001449
ERR1072742	10317.000001451
ERR1072743	10317.000001482
ERR1072744	10317.000001487
ERR1072745	10317.000001488
ERR1072746	10317.000001504
ERR1072747	10317.000001516
ERR1072748	10317.000001519
ERR1072749	10317.000001521
ERR1072750	10317.000001528
ERR1072751	10317.000001530
ERR1072752	10317.000001531
ERR1072753	10317.000001538
ERR1072754	10317.000001540
ERR1072755	10317.000001541
ERR1072756	10317.000001543
ERR1072757	10317.000001545
ERR1072758	10317.000001548
ERR1072759	10317.000001549
ERR1072760	10317.000001551
ERR1072761	10317.000001552
ERR1072762	10317.000001555
ERR1072763	10317.000001556
ERR1072764	10317.000001559
ERR1072765	10317.000001573
ERR1072766	10317.000001574
ERR1072767	10317.000001575
ERR1072768	10317.000001576
ERR1072769	10317.000001583
ERR1072770	10317.000001585
ERR1072771	10317.000001587
ERR1072772	10317.000001589
ERR1072773	10317.000001593
ERR1072774	10317.000001595
ERR1072775	10317.000001597
ERR1072776	10317.000001611
ERR1072777	10317.000001615
ERR1072778	10317.000001621
ERR1072779	10317.000001622
ERR1072780	10317.000001626
ERR1072781	10317.000001630
ERR1072782	10317.000001632
ERR1072783	10317.000001645
ERR1072784	10317.000001646
ERR1072785	10317.000001649
ERR1072786	10317.000001650
ERR1072787	10317.000001651
ERR1072788	10317.000001652
ERR1072789	10317.000001654
ERR1072790	10317.000001658
ERR1072791	10317.000001659
ERR1072792	10317.000001660
ERR1072793	10317.000001661
ERR1072794	10317.000001662
ERR1072795	10317.000001669
ERR1072796	10317.000001678
ERR1072797	10317.000001685
ERR1072798	10317.000001694
ERR1072799	10317.000001704
ERR1072800	10317.000001705
ERR1072801	10317.000001711
ERR1072802	10317.000001713
ERR1072803	10317.000001714
ERR1072804	10317.000001726
ERR1072805	10317.000001731
ERR1072806	10317.000001735
ERR1072807	10317.000001745
ERR1072808	10317.000001747
ERR1072809	10317.000001749
ERR1072810	10317.000001751
ERR1072811	10317.000001755
ERR1072812	10317.000001756
ERR1072813	10317.000001762
ERR1072814	10317.000001763
ERR1072815	10317.000001764
ERR1072816	10317.000001766
ERR1072817	10317.000001769
ERR1072818	10317.000001770
ERR1072819	10317.000001772
ERR1072820	10317.000001786
ERR1072821	10317.000001793
ERR1072822	10317.000001794
ERR1072823	10317.000001795
ERR1072824	10317.000001797
ERR1072825	10317.000001798
ERR1072826	10317.000001801
ERR1072827	10317.000001802
ERR1072828	10317.000001804
ERR1072829	10317.000001808
ERR1072830	10317.000001812
ERR1072831	10317.000001826
ERR1072832	10317.000001830
ERR1072833	10317.000001832
ERR1072834	10317.000001835
ERR1072835	10317.000001837
ERR1072836	10317.000001842
ERR1072837	10317.000001852
ERR1072838	10317.000001854
ERR1072839	10317.000001860
ERR1072840	10317.000001866
ERR1072841	10317.000001870
ERR1072842	10317.000001874
ERR1072843	10317.000001878
ERR1072844	10317.000001884
ERR1072845	10317.000001886
ERR1072846	10317.000001888
ERR1072847	10317.000001916
ERR1072848	10317.000001923
ERR1072849	10317.000001947
ERR1072850	10317.000001948
ERR1072851	10317.000001955
ERR1072852	10317.000001961
ERR1072853	10317.000001962
ERR1072854	10317.000001969
ERR1072855	10317.000001978
ERR1072856	10317.000001979
ERR1072857	10317.000001980
ERR1072858	10317.000001985
ERR1072859	10317.000001987
ERR1072860	10317.000001988
ERR1072861	10317.000002035
ERR1072862	10317.000002042
ERR1072863	10317.000002056
ERR1072864	10317.000002067
ERR1072865	10317.000002068
ERR1072866	10317.000002087
ERR1072867	10317.000002109
ERR1072868	10317.000002147
ERR1072869	10317.000002148
ERR1072870	10317.000002151
ERR1072871	10317.000002173
ERR1072872	10317.000002175
ERR1072873	10317.000002176
ERR1072874	10317.000002185
ERR1072875	10317.000002186
ERR1072876	10317.000002199
ERR1072877	10317.000002200
ERR1072878	10317.000002205
ERR1072879	10317.000002211
ERR1072880	10317.000002219
ERR1072881	10317.000002220
ERR1072882	10317.000002229
ERR1072883	10317.000002230
ERR1072884	10317.000002237
ERR1072885	10317.000002243
ERR1072886	10317.000002244
ERR1072887	10317.000002261
ERR1072888	10317.000002262
ERR1072889	10317.000002273
ERR1072890	10317.000002274
ERR1072891	10317.000002295
ERR1072892	10317.000002304
ERR1072893	10317.000002310
ERR1072894	10317.000002315
ERR1072895	10317.000002319
ERR1072896	10317.000002321
ERR1072897	10317.000002322
ERR1072898	10317.000002329
ERR1072899	10317.000002330
ERR1072900	10317.000002331
ERR1072901	10317.000002349
ERR1072902	10317.000002350
ERR1072903	10317.000002359
ERR1072904	10317.000002371
ERR1072905	10317.000002372
ERR1072906	10317.000002387
ERR1072907	10317.000002391
ERR1072908	10317.000002396
ERR1072909	10317.000002419
ERR1072910	10317.000002443
ERR1072911	10317.000002444
ERR1072912	10317.000002446
ERR1072913	10317.000002466
ERR1072914	10317.000002471
ERR1072915	10317.000002472
ERR1072916	10317.000002481
ERR1072917	10317.000002482
ERR1072918	10317.000002494
ERR1072919	10317.000002501
ERR1072920	10317.000002506
ERR1072921	10317.000002545
ERR1072922	10317.000002546
ERR1072923	10317.000002563
ERR1072924	10317.000002564
ERR1072925	10317.000002575
ERR1072926	10317.000002576
ERR1072927	10317.000002597
ERR1072928	10317.000002598
ERR1072929	10317.000002605
ERR1072930	10317.000002606
ERR1072931	10317.000002607
ERR1072932	10317.000002609
ERR1072933	10317.000002616
ERR1072934	10317.000002619
ERR1072935	10317.000002625
ERR1072936	10317.000002631
ERR1072937	10317.000002632
ERR1072938	10317.000002637
ERR1072939	10317.000002638
ERR1072940	10317.000002683
ERR1072941	10317.000002687
ERR1072942	10317.000002689
ERR1072943	10317.000002690
ERR1072944	10317.000002735
ERR1072945	10317.000002736
ERR1072946	10317.000002739
ERR1072947	10317.000002773
ERR1072948	10317.000002774
ERR1072949	10317.000002777
ERR1072950	10317.000002781
ERR1072951	10317.000002782
ERR1072952	10317.000002805
ERR1072953	10317.000002806
ERR1072954	10317.000002814
ERR1072955	10317.000002819
ERR1072956	10317.000002825
ERR1072957	10317.000002826
ERR1072958	10317.000002833
ERR1072959	10317.000002834
ERR1072960	10317.000002849
ERR1072961	10317.000002850
ERR1072962	10317.000002853
ERR1072963	10317.000002859
ERR1072964	10317.000002863
ERR1072965	10317.000002865
ERR1072966	10317.000002866
ERR1072967	10317.000002871
ERR1072968	10317.000002873
ERR1072969	10317.000002883
ERR1072970	10317.000002884
ERR1072971	10317.000002885
ERR1072972	10317.000002886
ERR1072973	10317.000002893
ERR1072974	10317.000002894
ERR1072975	10317.000002897
ERR1072976	10317.000002898
ERR1072977	10317.000002939
ERR1072978	10317.000002943
ERR1072979	10317.000002944
ERR1072980	10317.000002951
ERR1072981	10317.000002952
ERR1072982	10317.000003028
ERR1072983	10317.000003032
ERR1072984	10317.000003047
ERR1072985	10317.000003048
ERR1072986	10317.000003058
ERR1072987	10317.000003059
ERR1072988	10317.000003060
ERR1072989	10317.000003091
ERR1072990	10317.000003092
ERR1072991	10317.000003093
ERR1072992	10317.000003103
ERR1072993	10317.000003120
ERR1072994	10317.000003154
ERR1072995	10317.000003155
ERR1072996	10317.000003199
ERR1072997	10317.000003200
ERR1072998	10317.000003201
ERR1072999	10317.000003214
ERR1073000	10317.000003216
ERR1073001	10317.000003225
ERR1073002	10317.000003280
ERR1073003	10317.000003281
ERR1073004	10317.000003282
ERR1073005	10317.000003287
ERR1073006	10317.000003300
ERR1073007	10317.000003331
ERR1073008	10317.000003364
ERR1073009	10317.000003365
ERR1073010	10317.000003366
ERR1073011	10317.000003423
ERR1073012	10317.000003430
ERR1073013	10317.000003432
ERR1073014	10317.000003439
ERR1073015	10317.000003458
ERR1073016	10317.000003505
ERR1073017	10317.000003506
ERR1073018	10317.000003507
ERR1073019	10317.000003508
ERR1073020	10317.000003536
ERR1073021	10317.000003640
ERR1073022	10317.000003649
ERR1073023	10317.000003666
ERR1073024	10317.000003703
ERR1073025	10317.000003879
ERR1073026	10317.000003880
ERR1073027	10317.000003937
ERR1073028	10317.000003951
ERR1073029	10317.000003969
ERR1073030	10317.000003970
ERR1073031	10317.000003971
ERR1073032	10317.000003972
ERR1073033	10317.000003973
ERR1073034	10317.000003974
ERR1073035	10317.000003975
ERR1073036	10317.000004009
ERR1073037	10317.000004011
ERR1073038	10317.000004039
ERR1073039	10317.000004040
ERR1073040	10317.000004072
ERR1073041	10317.000004075
ERR1073042	10317.000004139
ERR1073043	10317.000004141
ERR1073044	10317.000004158
ERR1073045	10317.000004159
ERR1073046	10317.000004160
ERR1073047	10317.000004185
ERR1073048	10317.000004187
ERR1073049	10317.000004188
ERR1073050	10317.000004189
ERR1073051	10317.000004190
ERR1073052	10317.000004191
ERR1073053	10317.000004207
ERR1073054	10317.000004221
ERR1073055	10317.000004222
ERR1073056	10317.000004223
ERR1073057	10317.000004224
ERR1073058	10317.000004234
ERR1073059	10317.000004265
ERR1073060	10317.000004266
ERR1073061	10317.000004267
ERR1073062	10317.000004680
ERR1073063	10317.Blank.4.C4.r1
ERR1073064	10317.Blank.4.D4.r1
ERR1073065	10317.Blank.5.E5.r1
ERR1073066	10317.000001026
ERR1073067	10317.000001042
ERR1073068	10317.000001072
ERR1073069	10317.000001073
ERR1073070	10317.000001084
ERR1073071	10317.000001111
ERR1073072	10317.000001125
ERR1073073	10317.000001156
ERR1073074	10317.000001193
ERR1073075	10317.000001197
ERR1073076	10317.000001203
ERR1073077	10317.000001205
ERR1073078	10317.000001209
ERR1073079	10317.000001238
ERR1073080	10317.000001244
ERR1073081	10317.000001252
ERR1073082	10317.000001253
ERR1073083	10317.000001255
ERR1073084	10317.000001263
ERR1073085	10317.000001267
ERR1073086	10317.000001281
ERR1073087	10317.000001286
ERR1073088	10317.000001328
ERR1073089	10317.000001331
ERR1073090	10317.000001332
ERR1073091	10317.000001334
ERR1073092	10317.000001347
ERR1073093	10317.000001374
ERR1073094	10317.000001384
ERR1073095	10317.000001400
ERR1073096	10317.000001410
ERR1073097	10317.000001423
ERR1073098	10317.000001459
ERR1073099	10317.000001483
ERR1073100	10317.000001492
ERR1073101	10317.000001499
ERR1073102	10317.000001500
ERR1073103	10317.000001509
ERR1073104	10317.000001520
ERR1073105	10317.000001529
ERR1073106	10317.000001558
ERR1073107	10317.000001568
ERR1073108	10317.000001570
ERR1073109	10317.000001572
ERR1073110	10317.000001579
ERR1073111	10317.000001582
ERR1073112	10317.000001590
ERR1073113	10317.000001594
ERR1073114	10317.000001616
ERR1073115	10317.000001631
ERR1073116	10317.000001635
ERR1073117	10317.000001647
ERR1073118	10317.000001676
ERR1073119	10317.000001684
ERR1073120	10317.000001725
ERR1073121	10317.000001765
ERR1073122	10317.000001779
ERR1073123	10317.000001782
ERR1073124	10317.000001827
ERR1073125	10317.000001851
ERR1073126	10317.000001861
ERR1073127	10317.000001879
ERR1073128	10317.000001887
ERR1073129	10317.000001892
ERR1073130	10317.000001908
ERR1073131	10317.000001911
ERR1073132	10317.000001912
ERR1073133	10317.000001919
ERR1073134	10317.000001922
ERR1073135	10317.000001934
ERR1073136	10317.000001939
ERR1073137	10317.000001940
ERR1073138	10317.000001960
ERR1073139	10317.000001966
ERR1073140	10317.000002023
ERR1073141	10317.000002036
ERR1073142	10317.000002043
ERR1073143	10317.000002044
ERR1073144	10317.000002064
ERR1073145	10317.000002073
ERR1073146	10317.000002114
ERR1073147	10317.000002132
ERR1073148	10317.000002177
ERR1073149	10317.000002179
ERR1073150	10317.000002180
ERR1073151	10317.000002183
ERR1073152	10317.000002208
ERR1073153	10317.000002276
ERR1073154	10317.000002287
ERR1073155	10317.000002288
ERR1073156	10317.000002301
ERR1073157	10317.000002302
ERR1073158	10317.000002334
ERR1073159	10317.000002337
ERR1073160	10317.000002345
ERR1073161	10317.000002346
ERR1073162	10317.000002347
ERR1073163	10317.000002348
ERR1073164	10317.000002384
ERR1073165	10317.000002389
ERR1073166	10317.000002403
ERR1073167	10317.000002404
ERR1073168	10317.000002414
ERR1073169	10317.000002437
ERR1073170	10317.000002465
ERR1073171	10317.000002475
ERR1073172	10317.000002503
ERR1073173	10317.000002577
ERR1073174	10317.000002578
ERR1073175	10317.000002589
ERR1073176	10317.000002590
ERR1073177	10317.000002628
ERR1073178	10317.000002651
ERR1073179	10317.000002652
ERR1073180	10317.000002655
ERR1073181	10317.000002656
ERR1073182	10317.000002709
ERR1073183	10317.000002710
ERR1073184	10317.000002713
ERR1073185	10317.000002715
ERR1073186	10317.000002716
ERR1073187	10317.000002734
ERR1073188	10317.000002751
ERR1073189	10317.000002752
ERR1073190	10317.000002765
ERR1073191	10317.000002783
ERR1073192	10317.000002784
ERR1073193	10317.000002817
ERR1073194	10317.000002818
ERR1073195	10317.000002851
ERR1073196	10317.000002905
ERR1073197	10317.000002906
ERR1073198	10317.000002911
ERR1073199	10317.000002971
ERR1073200	10317.000002972
ERR1073201	10317.000002979
ERR1073202	10317.000002980
ERR1073203	10317.000002995
ERR1073204	10317.000002996
ERR1073205	10317.000003001
ERR1073206	10317.000003002
ERR1073207	10317.000003022
